Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Cheapest Flights Within K Stops;Given flights as edges (u,v,price), find the cheapest price from src to dst with at most K stops. If no such route, return -1.;"Input:
  n=3, flights=[[0,1,100],[1,2,100],[0,2,500]], src=0, dst=2, K=1
Output:
  200";Bellman-Ford (K+1 relaxations);Relax edges K+1 times from src using previous iteration distances.;Use two arrays prev and cur to ensure at most K stops.;O(K*E);O(V);https://leetcode.com/problems/cheapest-flights-within-k-stops/;dp graph medium;"from typing import List
def findCheapestPrice(n: int, flights: List[List[int]], src: int, dst: int, k: int) -> int:
    INF = 10**9
    dist = [INF]*n
    dist[src] = 0
    for _ in range(k+1):
        nd = dist[:]
        for u, v, w in flights:
            if dist[u] + w < nd[v]:
                nd[v] = dist[u] + w
        dist = nd
    return -1 if dist[dst] >= INF else dist[dst]";
Redundant Connection;In a tree with one extra edge added, return the edge that can be removed to make it a tree again.;"Input:
  edges = [[1,2],[1,3],[2,3]]
Output:
  [2,3]";Union-Find (DSU);"Union edges; the first that joins two nodes already connected is redundant.";Standard DSU with path compression and union by rank.;O(n α(n));O(n);https://leetcode.com/problems/redundant-connection/;union_find graph medium;"from typing import List
def findRedundantConnection(edges: List[List[int]]) -> List[int]:
    n = len(edges)
    parent = list(range(n+1))
    rank = [0]*(n+1)
    def find(x):
        while parent[x] != x:
            parent[x] = parent[parent[x]]
            x = parent[x]
        return x
    def union(a,b):
        ra, rb = find(a), find(b)
        if ra == rb: return False
        if rank[ra] < rank[rb]: ra, rb = rb, ra
        parent[rb] = ra
        if rank[ra] == rank[rb]: rank[ra] += 1
        return True
    for u,v in edges:
        if not union(u,v):
            return [u,v]
    return []";
Number of Provinces;Given an adjacency matrix isConnected where isConnected[i][j] = 1 if the ith and jth cities are directly connected, return the number of provinces.;"Input:
  isConnected = [[1,1,0],[1,1,0],[0,0,1]]
Output:
  2";Union-Find or DFS;"Union all edges isConnected[i][j]==1; count roots.";Either DFS from each unvisited node or DSU to count components.;O(n^2);O(n);https://leetcode.com/problems/number-of-provinces/;union_find graph medium;"from typing import List
def findCircleNum(M: List[List[int]]) -> int:
    n = len(M)
    parent = list(range(n))
    def find(x):
        while parent[x] != x:
            parent[x] = parent[parent[x]]
            x = parent[x]
        return x
    def union(a,b):
        ra, rb = find(a), find(b)
        if ra != rb: parent[rb] = ra
    for i in range(n):
        for j in range(i+1, n):
            if M[i][j] == 1:
                union(i,j)
    return sum(1 for i in range(n) if find(i) == i)";
Accounts Merge;Given a list of accounts where each account is a name and emails, merge accounts with any common email and return merged accounts with unique emails sorted.;"Input:
  [[""John"",""johnsmith@mail.com"",""john00@mail.com""],[""John"",""johnnybravo@mail.com""],[""John"",""johnsmith@mail.com"",""john_newyork@mail.com""],[""Mary"",""mary@mail.com""]]
Output:
  [[""John"", 'john00@mail.com', 'john_newyork@mail.com', 'johnsmith@mail.com'], [""John"", 'johnnybravo@mail.com'], [""Mary"", 'mary@mail.com']]";Union-Find by email;"Union emails within the same account; group by root and attach name.";"Map email→id; DSU unions within accounts; then gather components and sort emails.";O(N α(N) + total_emails log E);O(E);https://leetcode.com/problems/accounts-merge/;union_find hash_map medium;"from collections import defaultdict
from typing import List
def accountsMerge(accounts: List[List[str]]) -> List[List[str]]:
    parent = {}
    def find(x):
        parent.setdefault(x, x)
        if parent[x] != x:
            parent[x] = find(parent[x])
        return parent[x]
    def union(a,b):
        parent[find(a)] = find(b)
    email_to_name = {}
    for acc in accounts:
        name = acc[0]
        for email in acc[1:]:
            email_to_name[email] = name
            union(acc[1], email)
    groups = defaultdict(list)
    for email in email_to_name:
        groups[find(email)].append(email)
    return [[email_to_name[root]] + sorted(emails) for root, emails in groups.items()]";
Decode String;"Given an encoded string with the rule k[encoded_string], return the decoded string. k is a positive integer; patterns may be nested.";"Input:
  s = ""3[a2[c]]""
Output:
  ""accaccacc""";Stack (counts and partial strings);"Push current string and count on '['; on ']', pop and repeat.";"Parse digits to build count; accumulate characters; handle nesting with stacks.";O(n);O(n);https://leetcode.com/problems/decode-string/;stack string medium;"def decodeString(s: str) -> str:
    st = []
    cur = """"
    k = 0
    for ch in s:
        if ch.isdigit():
            k = k*10 + int(ch)
        elif ch == '[':
            st.append((cur, k))
            cur, k = """", 0
        elif ch == ']':
            prev, cnt = st.pop()
            cur = prev + cur*cnt
        else:
            cur += ch
    return cur";
Maximum Depth of Binary Tree;Given the root of a binary tree, return its maximum depth (length of the longest path from root to leaf).;"Input:
  root = [3,9,20,null,null,15,7]
Output:
  3";DFS (height);Depth = 1 + max(depth(left), depth(right)).;"Recurse returning height; base on null = 0.";O(n);O(h);https://leetcode.com/problems/maximum-depth-of-binary-tree/;trees dfs easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def maxDepth(root: Optional[TreeNode]) -> int:
    if not root: return 0
    return 1 + max(maxDepth(root.left), maxDepth(root.right))";
Same Tree;Given two binary trees p and q, check if they are structurally identical and the nodes have the same values.;"Input:
  p = [1,2,3], q = [1,2,3]
Output:
  true";DFS compare;"Both null → true; one null → false; else values equal and recurse on children.";Straightforward recursion or iterative stack/queue.;O(n);O(h);https://leetcode.com/problems/same-tree/;trees dfs easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def isSameTree(p: Optional[TreeNode], q: Optional[TreeNode]) -> bool:
    if not p and not q: return True
    if not p or not q or p.val != q.val: return False
    return isSameTree(p.left, q.left) and isSameTree(p.right, q.right)";
Symmetric Tree;Given the root of a binary tree, check whether it is symmetric around its center.;"Input:
  root = [1,2,2,3,4,4,3]
Output:
  true";Mirror recursion;Check left subtree vs right subtree mirrored.;"rec(l,r): both null→true; one null→false; values equal and rec(l.left,r.right) and rec(l.right,r.left).";O(n);O(h);https://leetcode.com/problems/symmetric-tree/;trees dfs/bfs easy;"from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def isSymmetric(root: Optional[TreeNode]) -> bool:
    def rec(a, b):
        if not a and not b: return True
        if not a or not b or a.val != b.val: return False
        return rec(a.left, b.right) and rec(a.right, b.left)
    return rec(root.left, root.right) if root else True";
Subtree of Another Tree;Given two non-empty binary trees s and t, check whether tree t has exactly the same structure and node values as a subtree of s.;"Input:
  s = [3,4,5,1,2], t = [4,1,2]
Output:
  true";DFS compare at matches;At each node with same value as t's root, compare trees for equality.;"Recurse through s; when s.val == t.val call isSameTree; return true if any match succeeds.";O(m*n) worst;O(h);https://leetcode.com/problems/subtree-of-another-tree/;trees dfs easy;"class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def isSame(a, b):
    if not a and not b: return True
    if not a or not b or a.val != b.val: return False
    return isSame(a.left, b.left) and isSame(a.right, b.right)
def isSubtree(s: 'TreeNode', t: 'TreeNode') -> bool:
    if not s: return False
    return isSame(s, t) or isSubtree(s.left, t) or isSubtree(s.right, t)";
Lowest Common Ancestor of a Binary Tree;Given a binary tree, find the lowest common ancestor (LCA) of two given nodes.;"Input:
  root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1
Output:
  3";DFS returns presence;Return node if it's p/q or contains them in different subtrees.;"Recurse left/right; if both non-null, current is LCA; else propagate non-null child up.";O(n);O(h);https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/;trees dfs medium;"class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val, self.left, self.right = val, left, right
def lowestCommonAncestor(root: 'TreeNode', p: 'TreeNode', q: 'TreeNode') -> 'TreeNode':
    if not root or root is p or root is q: return root
    l = lowestCommonAncestor(root.left, p, q)
    r = lowestCommonAncestor(root.right, p, q)
    if l and r: return root
    return l or r";
